Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.4,,,
Sample Interval,0.0032,,,
Filter Frequency,2e+08,,,
Record Length,2000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.002,0.001,2,0.001
Label,,,,
TIME,CH1,CH2,CH3,CH4
-2.038e+00,-8.00001e-05,0.00018,-1.48,2.98023e-12
-2.035e+00,-9.53674e-11,0.00014,-1.48,-0.00012
-2.032e+00,-0.00024,0.00014,-1.32,-8e-05
-2.029e+00,-8.00001e-05,2e-05,-1.16,8e-05
-2.026e+00,0.00016,0.0001,-0.92,8e-05
-2.022e+00,-9.53674e-11,6e-05,-0.76,-0.00016
-2.019e+00,-8.00001e-05,0.00022,-0.52,-8e-05
-2.016e+00,-9.53674e-11,-2e-05,-0.36,4e-05
-2.013e+00,-8.00001e-05,6e-05,-0.12,8e-05
-2.010e+00,-0.00032,6e-05,0.04,0.00012
-2.006e+00,-8.00001e-05,0.00018,0.28,2.98023e-12
-2.003e+00,-9.53674e-11,0.00018,0.44,4e-05
-2.000e+00,-9.53674e-11,-2e-05,0.6,4e-05
-1.997e+00,7.99999e-05,2e-05,0.84,-4e-05
-1.994e+00,-0.00016,0.00018,1,-0.00016
-1.990e+00,-8.00001e-05,0.00026,1.24,4e-05
-1.987e+00,-0.00016,0.00014,1.4,8e-05
-1.984e+00,-9.53674e-11,-2e-05,1.32,0.00016
-1.981e+00,-8.00001e-05,6e-05,1.16,2.98023e-12
-1.978e+00,-8.00001e-05,2e-05,0.92,4e-05
-1.974e+00,-9.53674e-11,2e-05,0.76,0.00016
-1.971e+00,-9.53674e-11,0.00018,0.52,-0.0002
-1.968e+00,-0.00016,0.00018,0.36,-4e-05
-1.965e+00,-9.53674e-11,6e-05,0.2,-4e-05
-1.962e+00,-0.00016,2e-05,-0.04,0.00012
-1.958e+00,-0.00016,0.0001,-0.2,8e-05
-1.955e+00,-0.00016,0.00014,-0.44,4e-05
